minute_ts,datetime_utc,usdc_reserve,token_reserve,mid_price_usdc,depth_usdc_tvl,fee_bps,buy_50k_bps_approx,max_size_at_50bps_approx
1789192320,2026-09-12T05:52:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192380,2026-09-12T05:53:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192440,2026-09-12T05:54:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192500,2026-09-12T05:55:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192560,2026-09-12T05:56:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192620,2026-09-12T05:57:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192680,2026-09-12T05:58:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192740,2026-09-12T05:59:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192800,2026-09-12T06:00:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192860,2026-09-12T06:01:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192920,2026-09-12T06:02:00.000Z,2829.253145,10341.124261127,0.27359241350917307,5658.50629,30,176725.08410342332,13.676565495849612
1789192980,2026-09-12T06:03:00.000Z,2827.721042,10344.649316071,0.2733510779922694,5655.442084,30,176820.83648759016,13.669159333886721
1789193040,2026-09-12T06:04:00.000Z,2818.988157,10364.749316071,0.27197842138150263,5637.976314,30,177368.60609308336,13.626944704248046
1789193100,2026-09-12T06:05:00.000Z,2809.436072,10386.749316071,0.2704827070056531,5618.872144,30,177971.6595024911,13.580770074609374
1789193160,2026-09-12T06:06:00.000Z,2809.436072,10386.749316071,0.2704827070056531,5618.872144,30,177971.6595024911,13.580770074609374
1789193220,2026-09-12T06:07:00.000Z,2809.436072,10386.749316071,0.2704827070056531,5618.872144,30,177971.6595024911,13.580770074609374
1789193280,2026-09-12T06:08:00.000Z,2809.23414,10387.214562941,0.2704511515553601,5618.46828,30,177984.4523746248,13.579793938476563
1789193340,2026-09-12T06:09:00.000Z,2800.865432,10406.501787844,0.2691457215018918,5601.730864,30,178516.25225813413,13.539339734765624
1789193400,2026-09-12T06:10:00.000Z,2800.865432,10406.501787844,0.2691457215018918,5601.730864,30,178516.25225813413,13.539339734765624
1789193460,2026-09-12T06:11:00.000Z,2800.865432,10406.501787844,0.2691457215018918,5601.730864,30,178516.25225813413,13.539339734765624
1789193520,2026-09-12T06:12:00.000Z,2800.865432,10406.501787844,0.2691457215018918,5601.730864,30,178516.25225813413,13.539339734765624
1789193580,2026-09-12T06:13:00.000Z,2799.091542,10410.591539293,0.26886959606812993,5598.183084,30,178629.38474771753,13.530764778222657
1789193640,2026-09-12T06:14:00.000Z,2799.091542,10410.591539293,0.26886959606812993,5598.183084,30,178629.38474771753,13.530764778222657
1789193700,2026-09-12T06:15:00.000Z,2799.091542,10410.591539293,0.26886959606812993,5598.183084,30,178629.38474771753,13.530764778222657
1789193760,2026-09-12T06:16:00.000Z,2799.091542,10410.591539293,0.26886959606812993,5598.183084,30,178629.38474771753,13.530764778222657
1789193820,2026-09-12T06:17:00.000Z,2799.111836,10410.545030875,0.26887274659478,5598.223672,30,178628.08965665064,13.530862879101562
1789193880,2026-09-12T06:18:00.000Z,2799.132063,10410.498676542,0.2688758867341572,5598.264126,30,178626.79885997222,13.530960656103513
1789193940,2026-09-12T06:19:00.000Z,2808.825305,10388.290920001,0.27038377406162684,5617.65061,30,178010.35867554604,13.57781763647461
1789194000,2026-09-12T06:20:00.000Z,2808.835448,10388.267691239,0.2703853550451772,5617.670896,30,178009.71586143266,13.577866667578125
1789194060,2026-09-12T06:21:00.000Z,2818.37062,10366.437191969,0.2718745667203217,5636.74124,30,177407.4695683565,13.623959540039063
1789194120,2026-09-12T06:22:00.000Z,2818.402975,10366.363146031,0.27187962984675973,5636.80595,30,177405.43294735914,13.624115943603517
1789194180,2026-09-12T06:23:00.000Z,2837.452086,10322.795615201,0.27487244655136484,5674.904172,30,176214.42929979402,13.716199048535156
1789194240,2026-09-12T06:24:00.000Z,2846.996811,10300.988122433,0.27638094298933774,5693.993622,30,175623.6600154028,13.762338100048828
1789194300,2026-09-12T06:25:00.000Z,2846.996811,10300.988122433,0.27638094298933774,5693.993622,30,175623.6600154028,13.762338100048828
1789194360,2026-09-12T06:26:00.000Z,2859.713537,10271.956544675,0.27840008128563204,5719.427074,30,174842.68739886727,13.823810554833985
1789194420,2026-09-12T06:27:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194480,2026-09-12T06:28:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194540,2026-09-12T06:29:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194600,2026-09-12T06:30:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194660,2026-09-12T06:31:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194720,2026-09-12T06:32:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194780,2026-09-12T06:33:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194840,2026-09-12T06:34:00.000Z,2859.727794,10271.924012123,0.27840235097387095,5719.455588,30,174841.81573122132,13.82387947294922
1789194900,2026-09-12T06:35:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789194960,2026-09-12T06:36:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789195020,2026-09-12T06:37:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789195080,2026-09-12T06:38:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789195140,2026-09-12T06:39:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789195200,2026-09-12T06:40:00.000Z,2853.048079,10287.26201549,0.2773379422730786,5706.096158,30,175251.16512416123,13.791589835009765
1789195260,2026-09-12T06:41:00.000Z,2845.811343,10303.887377395,0.27618812577893975,5691.622686,30,175696.81884566165,13.756607566259765
1789195320,2026-09-12T06:42:00.000Z,2845.811343,10303.887377395,0.27618812577893975,5691.622686,30,175696.81884566165,13.756607566259765
1789195380,2026-09-12T06:43:00.000Z,2845.811343,10303.887377395,0.27618812577893975,5691.622686,30,175696.81884566165,13.756607566259765
1789195440,2026-09-12T06:44:00.000Z,2845.811343,10303.887377395,0.27618812577893975,5691.622686,30,175696.81884566165,13.756607566259765
1789195500,2026-09-12T06:45:00.000Z,2845.811343,10303.887377395,0.27618812577893975,5691.622686,30,175696.81884566165,13.756607566259765
1789195560,2026-09-12T06:46:00.000Z,2845.779312,10303.960985469,0.2761830441723543,5691.558624,30,175698.796421639,13.75645272890625
1789195620,2026-09-12T06:47:00.000Z,2845.779312,10303.960985469,0.2761830441723543,5691.558624,30,175698.796421639,13.75645272890625
1789195680,2026-09-12T06:48:00.000Z,2845.779312,10303.960985469,0.2761830441723543,5691.558624,30,175698.796421639,13.75645272890625
1789195740,2026-09-12T06:49:00.000Z,2846.586104,10302.118171523,0.2763107602345799,5693.172208,30,175648.9990931256,13.760352748828124
1789195800,2026-09-12T06:50:00.000Z,2846.586104,10302.118171523,0.2763107602345799,5693.172208,30,175648.9990931256,13.760352748828124
1789195860,2026-09-12T06:51:00.000Z,2845.619333,10304.339723735,0.27615736760361315,5691.238666,30,175708.6741018427,13.755679392919923
1789195920,2026-09-12T06:52:00.000Z,2843.494071,10309.223923734,0.2758203810525135,5686.988142,30,175840.00089866898,13.745405909619143
1789195980,2026-09-12T06:53:00.000Z,2834.620931,10329.623923734,0.2744166633682563,5669.241862,30,176390.42826922523,13.702513289501953
1789196040,2026-09-12T06:54:00.000Z,2834.620931,10329.623923734,0.2744166633682563,5669.241862,30,176390.42826922523,13.702513289501953
1789196100,2026-09-12T06:55:00.000Z,2834.620931,10329.623923734,0.2744166633682563,5669.241862,30,176390.42826922523,13.702513289501953
1789196160,2026-09-12T06:56:00.000Z,2834.620931,10329.623923734,0.2744166633682563,5669.241862,30,176390.42826922523,13.702513289501953
1789196220,2026-09-12T06:57:00.000Z,2831.989279,10335.676791681,0.27400133886533845,5663.978558,30,176554.34069176784,13.689791924853516
1789196280,2026-09-12T06:58:00.000Z,2831.989279,10335.676791681,0.27400133886533845,5663.978558,30,176554.34069176784,13.689791924853516
1789196340,2026-09-12T06:59:00.000Z,2831.989279,10335.676791681,0.27400133886533845,5663.978558,30,176554.34069176784,13.689791924853516
1789196400,2026-09-12T07:00:00.000Z,2831.989279,10335.676791681,0.27400133886533845,5663.978558,30,176554.34069176784,13.689791924853516
1789196460,2026-09-12T07:01:00.000Z,2830.873221,10338.244100747,0.2738253414615594,5661.746442,30,176623.9463819493,13.684396917919921
1789196520,2026-09-12T07:02:00.000Z,2830.873221,10338.244100747,0.2738253414615594,5661.746442,30,176623.9463819493,13.684396917919921
1789196580,2026-09-12T07:03:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196640,2026-09-12T07:04:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196700,2026-09-12T07:05:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196760,2026-09-12T07:06:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196820,2026-09-12T07:07:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196880,2026-09-12T07:08:00.000Z,2830.158282,10339.888809594,0.27371264180075133,5660.316564,30,176668.56415064636,13.680940913964843
1789196940,2026-09-12T07:09:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197000,2026-09-12T07:10:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197060,2026-09-12T07:11:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197120,2026-09-12T07:12:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197180,2026-09-12T07:13:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197240,2026-09-12T07:14:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197300,2026-09-12T07:15:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197360,2026-09-12T07:16:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197420,2026-09-12T07:17:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197480,2026-09-12T07:18:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197540,2026-09-12T07:19:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197600,2026-09-12T07:20:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197660,2026-09-12T07:21:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197720,2026-09-12T07:22:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197780,2026-09-12T07:23:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197840,2026-09-12T07:24:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197900,2026-09-12T07:25:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789197960,2026-09-12T07:26:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198020,2026-09-12T07:27:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198080,2026-09-12T07:28:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198140,2026-09-12T07:29:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198200,2026-09-12T07:30:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198260,2026-09-12T07:31:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198320,2026-09-12T07:32:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198380,2026-09-12T07:33:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198440,2026-09-12T07:34:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198500,2026-09-12T07:35:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198560,2026-09-12T07:36:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198620,2026-09-12T07:37:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198680,2026-09-12T07:38:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198740,2026-09-12T07:39:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198800,2026-09-12T07:40:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198860,2026-09-12T07:41:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198920,2026-09-12T07:42:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789198980,2026-09-12T07:43:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789199040,2026-09-12T07:44:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789199100,2026-09-12T07:45:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789199160,2026-09-12T07:46:00.000Z,2826.849234,10347.502340137,0.2731914563609147,5653.698468,30,176875.36851496625,13.664945027636715
1789199220,2026-09-12T07:47:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199280,2026-09-12T07:48:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199340,2026-09-12T07:49:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199400,2026-09-12T07:50:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199460,2026-09-12T07:51:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199520,2026-09-12T07:52:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199580,2026-09-12T07:53:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199640,2026-09-12T07:54:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199700,2026-09-12T07:55:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199760,2026-09-12T07:56:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199820,2026-09-12T07:57:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199880,2026-09-12T07:58:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789199940,2026-09-12T07:59:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200000,2026-09-12T08:00:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200060,2026-09-12T08:01:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200120,2026-09-12T08:02:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200180,2026-09-12T08:03:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200240,2026-09-12T08:04:00.000Z,2825.11217,10351.499741394,0.2729181510484733,5650.22434,30,176984.12307642994,13.656548087402342
1789200300,2026-09-12T08:05:00.000Z,2808.392889,10390.000416464,0.27029766856888854,5616.785778,30,178037.76742150838,13.57572734428711
1789200360,2026-09-12T08:06:00.000Z,2808.392889,10390.000416464,0.27029766856888854,5616.785778,30,178037.76742150838,13.57572734428711
1789200420,2026-09-12T08:07:00.000Z,2808.392889,10390.000416464,0.27029766856888854,5616.785778,30,178037.76742150838,13.57572734428711
1789200480,2026-09-12T08:08:00.000Z,2817.235889,10369.753245955,0.27167819929552695,5634.471778,30,177478.92604672123,13.618474268115234
1789200540,2026-09-12T08:09:00.000Z,2817.235889,10369.753245955,0.27167819929552695,5634.471778,30,177478.92604672123,13.618474268115234
1789200600,2026-09-12T08:10:00.000Z,2830.661716,10339.037695798,0.2737838664763201,5661.323432,30,176637.1435957203,13.683374506054689
1789200660,2026-09-12T08:11:00.000Z,2840.201682,10317.230195442,0.27528722614474177,5680.403364,30,176043.8363123256,13.729490552636719
1789200720,2026-09-12T08:12:00.000Z,2840.201682,10317.230195442,0.27528722614474177,5680.403364,30,176043.8363123256,13.729490552636719
1789200780,2026-09-12T08:13:00.000Z,2840.201682,10317.230195442,0.27528722614474177,5680.403364,30,176043.8363123256,13.729490552636719
1789200840,2026-09-12T08:14:00.000Z,2840.201682,10317.230195442,0.27528722614474177,5680.403364,30,176043.8363123256,13.729490552636719
1789200900,2026-09-12T08:15:00.000Z,2839.66658,10318.460365625,0.27520254760682006,5679.33316,30,176077.00971710557,13.726903877929688
1789200960,2026-09-12T08:16:00.000Z,2839.66658,10318.460365625,0.27520254760682006,5679.33316,30,176077.00971710557,13.726903877929688
1789201020,2026-09-12T08:17:00.000Z,2839.66658,10318.460365625,0.27520254760682006,5679.33316,30,176077.00971710557,13.726903877929688
1789201080,2026-09-12T08:18:00.000Z,2839.66658,10318.460365625,0.27520254760682006,5679.33316,30,176077.00971710557,13.726903877929688
1789201140,2026-09-12T08:19:00.000Z,2839.66658,10318.460365625,0.27520254760682006,5679.33316,30,176077.00971710557,13.726903877929688
1789201200,2026-09-12T08:20:00.000Z,2839.39934,10317.87329526,0.2751923055019886,5678.79868,30,176093.58182072412,13.725612043945313
1789201260,2026-09-12T08:21:00.000Z,2839.442331,10318.46413159,0.2751807143765748,5678.884662,30,176090.91564959133,13.725819861767578
1789201320,2026-09-12T08:22:00.000Z,2839.442331,10318.46413159,0.2751807143765748,5678.884662,30,176090.91564959133,13.725819861767578
1789201380,2026-09-12T08:23:00.000Z,2839.442331,10318.46413159,0.2751807143765748,5678.884662,30,176090.91564959133,13.725819861767578
1789201440,2026-09-12T08:24:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201500,2026-09-12T08:25:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201560,2026-09-12T08:26:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201620,2026-09-12T08:27:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201680,2026-09-12T08:28:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201740,2026-09-12T08:29:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201800,2026-09-12T08:30:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201860,2026-09-12T08:31:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201920,2026-09-12T08:32:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
1789201980,2026-09-12T08:33:00.000Z,2810.31094,10385.643086683,0.27059575575089073,5620.62188,30,177916.25577203924,13.58499917285156
